SHP,GW,G,GP,Shift,Team,Pos,P,S,TOI,A,SHG,SPerc,FO,PPG,PIM,Player,PPP,Fantasy,PlusMin,OT
1,1,15,75,18.7,NYR,R,39,102,12:53,24,1,14.7,36.7,1,22,Kevin Hayes,3,0,13,0
1,2,11,61,31.3,CGY,D,48,157,25:10:00,37,1,7,0,2,37,Mark Giordano,14,0,13,1
1,2,10,78,30,CHI,D,45,166,25:34:00,35,0,6,0,3,20,Duncan Keith,16,0,13,0
0,2,9,68,16.7,MIN,R,30,99,11:53,21,0,9.1,50,0,12,Justin Fontaine,1,0,13,0
1,1,8,61,22.2,CGY,C,28,65,15:19,20,1,12.3,52.1,1,43,Joe Colborne,5,0,13,0
0,1,3,74,22.7,,D,23,102,16:51,20,0,2.9,0,0,82,Simon Despres,1,0,13,1
2,4,28,72,25.5,STL,L,62,180,18:14,34,0,15.6,46.9,8,14,Jaden Schwartz,16,0,14,1
2,6,24,76,23.5,ANA,C,68,186,20:06,44,0,12.9,50.7,3,58,Ryan Getzlaf,13,0,14,2
0,1,14,58,20.2,CHI,L,34,129,15:55,20,0,10.9,31.2,2,31,Kris Versteeg,5,0,14,0
0,3,12,42,17.9,LAK,L,16,68,13:17,4,0,17.6,62.5,1,14,Tanner Pearson,1,0,14,0
3,3,11,79,32,CGY,D,41,131,25:08:00,30,1,8.4,0,3,30,TJ Brodie,9,0,14,1
0,3,10,43,18.7,BOS,R,27,91,14:09,17,0,11,31.2,2,8,David Pastrnak,3,0,14,1
0,2,8,54,19.4,MIN,D,15,83,14:57,7,0,9.6,0,2,19,Matt Dumba,5,0,14,1
0,0,5,80,25.7,WSH,D,21,70,19:25,16,0,7.1,0,0,20,Karl Alzner,0,0,14,0
0,3,33,65,21.1,ANA,R,54,189,18:08,21,0,17.5,25,4,67,Corey Perry,7,0,15,1
0,6,24,79,21.8,NSH,C,61,226,17:19,37,0,10.6,42.8,6,24,Filip Forsberg,19,0,15,2
0,6,23,64,22,NSH,L,37,207,18:02,14,0,11.1,41.2,3,57,James Neal,4,0,15,2
0,8,22,63,18.7,ANA,L,32,142,14:31,10,0,15.5,44.4,4,39,Matt Beleskey,4,0,15,0
1,2,15,76,30.6,NSH,D,45,227,26:22:00,30,1,6.6,0,5,72,Shea Weber,15,0,15,1
